date,State,cases,deaths,population,new_cases,new_deaths,cases_per_100k,deaths_per_100k,new_cases_per_100k,iso_3166_2_code,census_fips_code,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,overall_pct_change,AREA_SQMI,White,IncomePerCap,Poverty,ChildPoverty,Service,Production,dem_gop_diff_16,FBFilterBubble
2020-03-23,FL,1227,17,21477737,155.57142857142858,1.7142857142857142,5.712892377814292,0.07915172813597633,0.7243380835300692,US-FL,,-37.0,-12.0,-33.0,-46.0,-36.0,15.0,-16.404761904761905,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-03-24,FL,1412,19,21477737,171.57142857142858,1.8571428571428572,6.574249419294034,0.08846369615197355,0.7988338276580469,US-FL,,-38.0,-12.0,-33.0,-46.0,-39.0,16.0,-19.357142857142858,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-03-25,FL,1975,23,21477737,235.28571428571428,2.2857142857142856,9.19556841579725,0.10708763218396798,1.0954865230248154,US-FL,,-38.0,-13.0,-33.0,-48.0,-40.0,17.0,-21.761904761904763,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-03-26,FL,2458,30,21477737,289.85714285714283,3.142857142857143,11.444408691660579,0.13967952023995825,1.349570221747025,US-FL,,-40.0,-14.0,-34.0,-51.0,-42.0,18.0,-23.88095238095238,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-03-27,FL,3198,46,21477737,364.14285714285717,5.428571428571429,14.889836857579548,0.21417526436793596,1.6954433194840646,US-FL,,-44.0,-17.0,-38.0,-55.0,-43.0,20.0,-25.88095238095238,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-03-28,FL,4038,56,21477737,468.14285714285717,6.857142857142857,18.80086342429838,0.26073510444792203,2.17966565631592,US-FL,,-49.0,-23.0,-48.0,-59.0,-36.0,14.0,-27.523809523809522,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-03-29,FL,4947,59,21477737,563.2857142857143,6.571428571428571,23.033152887569113,0.2747030564719179,2.622649277648359,US-FL,,-50.0,-26.0,-48.0,-63.0,-41.0,13.0,-28.857142857142858,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-03-30,FL,5702,71,21477737,639.2857142857143,7.714285714285714,26.548420813608065,0.3305748645679012,2.9765040622562533,US-FL,,-42.0,-22.0,-42.0,-55.0,-43.0,17.0,-29.76190476190476,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-03-31,FL,6739,85,21477737,761.0,9.428571428571429,31.37667622990262,0.3957586406798817,3.5432038300869406,US-FL,,-42.0,-20.0,-46.0,-52.0,-45.0,19.0,-30.571428571428566,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
2020-04-01,FL,7556,97,21477737,797.2857142857143,10.571428571428571,35.180615164437484,0.451630448775865,3.7121495355200333,US-FL,,-37.0,-11.0,-41.0,-53.0,-45.0,18.0,-30.904761904761898,53634.00899999999,56.05955320055635,26829.026218465733,16.5641158973035,24.077427988067864,20.65058790257771,9.119582885314967,-0.008108750083542709,3.5144658160060693
